class,subclass,ship_type,IARA_type,mcr_percent,cruising_speed_kt,rpm,length_m,draft_m,n_blades,n_shafts,lower,medium,greater,isolated,oscillating,concentrated
Cargo,Cargo,Bulker,Bulk Carrier,0.72-0.8,10-12,50-70/120-125,175-300,7.5-12.5,4/6,1,0.1-0.3,0-0.1,0,0,0.1-0.2,0
Cargo,Cargo,Vehicle_Carrier,Vehicles Carrier,0.75-0.8,16-20,50-60,170-185,5-7.5,6,1,0.8-1,0,0.1-0.2,0-0.1,0-0.1,0
Cargo,Cargo,Containership,Container Ship,0.7-0.75,12-16,50-60/100-110,120-200/280-320,6-13,6,1,0.3-0.5,0,0,0,0,0
Cargo,Cargo,Tanker,Tanker,0.75-0.9,7.5-11.5,135-150,120-140/275-285,6-10,4-5,1,0.4-0.6,0-0.2,0,0,0,0-0.1
Apoio e Uso Humano,Uso pessoal,Fishing,Fishing,0.5-0.7,5-12,140-200,20-30,2-4,3-5,1,0-0.1,0,0-0.1,0-0.1,0-0.1,0.2-0.3
Apoio e Uso Humano,Uso pessoal,Recreational,Pleasure Craft,0.6-0.75,15-18,100-120,30-35,2,4,1,0.2-0.3,0,0.1-0.2,0-0.2,0,0.1-0.3
Apoio e Uso Humano,Serviços,Tug,Tug,0.7-0.8,7-10,220-260,30-35,4-6,4/6,1,0.2-0.3,0.1-0.2,0,0.1-0.2,0.1-0.3,0.1-0.2
Apoio e Uso Humano,Serviços,Dredger,Suction Dredger,0.75-0.85,6-12,120-200,70-180,4-6,4,1,0-0.05,0.2-0.3/0.9-1,0,0,0,0
